symbol,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
KGI,,,,,,,,,yfinance.info/recommendations
KIAT,,,,,,,,,yfinance.info/recommendations
KISS,,,,,,,,,yfinance.info/recommendations
KJL,9.85,9.85,9.85,9.85,1.0,,1970-01-01,20403.0,yfinance.info/recommendations
KK,,,,,,,,,yfinance.info/recommendations
KKC,,,,,,,,,yfinance.info/recommendations
KKP,63.85714,63.0,80.0,50.0,14.0,3.0,1970-01-01,20403.0,yfinance.info/recommendations
KLINIQ,30.03333,31.6,33.0,25.5,3.0,,1970-01-01,20403.0,yfinance.info/recommendations
KOOL,,,,,,,,,yfinance.info/recommendations
KPNREIT,,,,,,,,,yfinance.info/recommendations
KSL,,,,,,,,,yfinance.info/recommendations
KTB,29.18421,30.0,33.0,21.4,19.0,1.4,1970-01-01,20403.0,yfinance.info/recommendations
KTBSTMR,,,,,,,,,yfinance.info/recommendations
KTC,35.91667,36.0,45.0,29.0,12.0,1.53846,1970-01-01,20403.0,yfinance.info/recommendations
KTIS,,,,,,,,,yfinance.info/recommendations
KTMS,,,,,,,,,yfinance.info/recommendations
KUMWEL,,,,,,,,,yfinance.info/recommendations
KUN,,,,,,,,,yfinance.info/recommendations
KWC,,,,,,,,,yfinance.info/recommendations
KWI,,,,,,,,,yfinance.info/recommendations
KWM,,,,,,,,,yfinance.info/recommendations
KYE,,,,,,,,,yfinance.info/recommendations
LALIN,,,,,,,,,yfinance.info/recommendations
LANNA,,,,,,,,,yfinance.info/recommendations
LDC,,,,,,,,,yfinance.info/recommendations
LEO,,,,,,,,,yfinance.info/recommendations
LH,4.32933,4.1,7.9,3.4,15.0,3.33333,1970-01-01,20403.0,yfinance.info/recommendations
LHFG,,,,,,,,,yfinance.info/recommendations
LHHOTEL,13.3,13.3,13.5,13.1,2.0,,1970-01-01,20403.0,yfinance.info/recommendations
LHK,,,,,,,,,yfinance.info/recommendations
